CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,Occupation,RealisticSalary
619,France,Female,42,2,0.0,1,1,1,1,SENIOR CLERK TYPIST,89916.36363636365
608,Spain,Female,41,1,83807.86,1,0,1,0,Assistant Law Librarian,104729.16144790826
502,France,Female,42,8,159660.8,3,1,0,1,Dept Head II,136966.88510158192
699,France,Female,39,1,0.0,2,0,0,0,Chief Atty1 (Civil & Criminal),95425.45454545454
850,Spain,Female,43,2,125510.82,1,1,1,0,Dental Hygienist,147832.95474849787
645,Spain,Male,44,8,113755.78,2,1,0,1,MUNICIPAL STADIUM GROUNDSKEEPER,144603.66185330466
822,France,Male,50,7,0.0,2,1,1,0,Mayoral Staff XVI,138458.18181818182
376,Germany,Female,29,4,115046.74,4,1,0,1,DIAGNOSTIC IMAGING TECH IV,91177.83776048818
501,France,Male,44,4,142051.07,2,0,1,0,Planner 3-Environmental Review,118090.22352780764
684,France,Male,27,2,134603.88,1,1,1,0,Biologist,127178.38657092715
528,France,Male,31,6,102016.72,2,0,0,0,INFORMATION SERVICES MANAGER,112665.4631572814
497,Spain,Male,24,3,0.0,2,1,0,0,Health Program Coordinator 2,74185.45454545454
476,France,Female,34,10,0.0,2,1,0,0,TRANSIT FARE INSPECTOR,96029.09090909091
549,France,Female,25,5,0.0,2,0,0,0,Administrative Analyst,85243.63636363637
635,Spain,Female,35,7,0.0,2,1,1,0,"Asst Chf, Bur Clm Invest&Admin",106472.72727272726
616,Germany,Male,45,3,143129.41,2,0,1,0,TRANSCRIBER TYPIST,128420.82601991182
653,Germany,Male,58,1,132602.88,1,1,0,1,Chief Stationary Engineer,123343.50195419257
549,Spain,Female,24,9,0.0,2,1,1,0,TRAFFIC SIGN MANAGER,93516.36363636365
587,Spain,Male,45,6,0.0,1,0,0,0,FIREFIGHTER,102985.45454545454
726,France,Female,24,6,0.0,2,1,1,0,WATERSHED KEEPER,108210.90909090909
732,France,Male,41,8,0.0,2,1,1,0,ENVIRONMENTAL HEALTH INSPECTOR,125658.18181818182
636,Spain,Female,32,8,0.0,2,1,0,0,"Cfdntal Chf Atty 2,(Cvl&Crmnl)",107592.72727272726
510,Spain,Female,38,4,0.0,1,1,0,1,Superior Court Judge,83018.18181818182
669,France,Male,46,3,0.0,2,0,1,0,INSTITUTION UTILITY WORKER,100825.45454545453
846,France,Female,38,5,0.0,1,1,1,0,Victim/Witness Investigator 2,126792.72727272726
577,France,Male,25,3,0.0,2,0,1,0,AUTOMOTIVE TRANSIT SHOP SUPERVISOR I,84058.18181818182
756,Germany,Male,36,2,136815.64,1,1,1,0,"SUPERVISOR, TRAFFIC AND STREET SIGNS",137983.6725279031
571,France,Male,44,9,0.0,2,0,0,0,IS Trainer-Assistant,112520.0
574,Germany,Female,43,3,141349.43,1,1,1,0,Chief Building Inspector,122409.7054201641
411,France,Male,29,0,59697.17,2,1,1,0,"Claims Investigator, CA",71596.03613881636
591,Spain,Female,39,3,0.0,3,1,0,1,JUNIOR ENGINEER,89556.36363636363
533,France,Male,36,7,85311.7,1,0,1,0,School Crossing Guard,115270.60931044661
553,Germany,Male,41,9,110112.54,2,0,0,0,Transit Paint Shop Sprv1,134237.86863437807
520,Spain,Female,42,6,0.0,2,1,1,0,WELFARE FRAUD INVESTIGATOR,93309.09090909091
722,Spain,Female,29,9,0.0,2,1,1,0,Pool Lifeguard,118367.27272727272
475,France,Female,45,0,134264.04,1,1,0,1,UTILITY PLUMBER,97108.0260116767
490,Spain,Male,31,3,145260.23,1,0,1,0,Principal Recreation Sprv,109992.21045629976
804,Spain,Male,33,7,76548.6,1,0,1,0,Airport Electrician Supervisor,143785.90260770818
850,France,Male,36,7,0.0,1,1,1,0,Auto Body&Fender Wrk Asst Sprv,132909.0909090909
582,Germany,Male,41,6,70349.48,2,0,1,0,Carpenter Supervisor 2,117027.07571305508
472,Spain,Male,40,4,0.0,1,1,0,0,"Coord, Human Rights Comm",79185.45454545454
465,France,Female,51,8,122522.32,1,0,0,1,ASSISTANT PURCHASER,130191.00938262515
556,France,Female,61,2,117419.35,1,1,1,0,TRANSIT SUPERVISOR,113890.68044349292
834,France,Female,49,2,131394.56,1,0,0,1,Sr. Microphoto/Imaging Tech.,148410.90683443332
660,Spain,Female,61,5,155931.11,1,1,1,0,Glazier,152216.78178650868
776,Germany,Female,32,4,109421.13,2,1,1,0,WATERSHED WORKER (SEASONAL),138923.43330197968
829,Germany,Female,27,9,112045.67,1,1,1,1,Undersheriff,156365.6136659818
637,Germany,Female,39,9,137843.8,1,1,1,1,Power Plant Supervisor 1,149313.1840195646
550,Germany,Male,38,2,103391.38,1,0,1,0,"INVESTIGATOR, TAX COLLECTOR",105634.20061399142
776,Germany,Female,37,2,103769.22,2,1,0,0,Sr. Environmental Spec,132662.73943728235
698,Germany,Male,44,10,116363.37,2,1,0,0,PRINCIPAL ADMINISTRATIVE ANALYST,159587.24332417198
585,Germany,Male,36,5,146050.97,2,0,0,0,TRANSIT POWER LINE WORKER SUPERVISOR II,129490.39965625448
788,France,Female,33,5,0.0,2,0,0,0,Personnel Clerk,117560.0
655,Germany,Male,41,8,125561.97,1,0,0,1,PUBLIC SERVICE AIDE-SPECIAL PROGRAMS,146445.18680654184
601,Germany,Male,42,1,98495.72,1,1,0,1,CHILD SUPPORT OFFICER II,107492.53888801842
619,France,Male,43,1,125211.92,1,1,1,0,STAGE ELECTRICIAN,116132.38461850098
656,France,Male,45,5,127864.4,1,1,0,0,Asst Engr,137752.15567070933
725,Germany,Male,19,0,75888.2,1,0,0,0,SUPERIOR COURT JUDGE,113147.97394432136
511,Spain,Female,66,4,0.0,1,1,0,1,SENIOR ADMINISTRATIVE ANALYST,93320.0
614,France,Male,51,4,40685.92,1,1,1,0,JUNIOR MANAGEMENT ASSISTANT,109955.12287413732
742,Germany,Male,35,5,136857.0,1,0,0,0,Dep Dir V,145677.19975997932
687,Germany,Female,27,9,152328.88,2,0,0,0,COMMUNITY DEVELOPMENT SPECIALIST,148958.97755488186
555,Spain,Male,33,1,56084.69,2,0,0,0,TILE SETTER,91012.14434912597
684,Spain,Male,56,8,78707.16,1,1,1,0,TRACK MAINTENANCE WORKER,149629.37535866385
603,Germany,Male,26,4,109166.37,1,1,1,0,WORKER'S COMPENSATION SUPERVISOR I,115920.69157945218
